,GENDER,STRATUM,CR_S11,CC_S11,ENG_S11,CR_PRO,CC_PRO,ENG_PRO,COL_GRADE_AVG,HI_GRADE_AVG,GENDER_bin
10878,M,Stratum 3,54,53,52,7,11,44,20.666666666666668,53.0,0
10879,F,Stratum 3,54,60,64,60,54,66,60.0,59.333333333333336,1
10880,M,Stratum 2,48,56,49,55,12,20,29.0,51.0,0
10881,F,Stratum 2,51,48,49,15,36,48,33.0,49.333333333333336,1
10882,M,Stratum 2,47,52,40,46,59,35,46.666666666666664,46.333333333333336,0
10883,F,Stratum 2,56,65,54,60,89,82,77.0,58.333333333333336,1
10884,M,Stratum 1,50,41,50,12,12,25,16.333333333333332,47.0,0
10885,M,Stratum 2,64,65,46,99,90,62,83.66666666666667,58.333333333333336,0
10886,M,Stratum 3,55,62,44,74,78,55,69.0,53.666666666666664,0
10887,M,Stratum 2,62,58,70,77,76,77,76.66666666666667,63.333333333333336,0
10888,M,Stratum 2,65,70,68,72,62,89,74.33333333333333,67.66666666666667,0
10889,F,Stratum 2,74,70,68,94,87,84,88.33333333333333,70.66666666666667,1
10890,F,Stratum 2,48,53,53,68,7,77,50.666666666666664,51.333333333333336,1
10891,M,Stratum 3,57,60,59,83,77,73,77.66666666666667,58.666666666666664,0
10892,M,Stratum 2,87,100,82,100,100,99,99.66666666666667,89.66666666666667,0
10893,M,Stratum 2,53,56,58,38,91,58,62.333333333333336,55.666666666666664,0
10894,F,Stratum 3,53,60,57,71,93,52,72.0,56.666666666666664,1
10895,F,Stratum 4,66,70,74,100,91,89,93.33333333333333,70.0,1
10896,F,Stratum 1,61,62,55,46,92,49,62.333333333333336,59.333333333333336,1
10897,F,Stratum 3,61,70,60,88,85,87,86.66666666666667,63.666666666666664,1
10898,F,Stratum 4,66,58,80,47,53,90,63.333333333333336,68.0,1
