,GENDER,STRATUM,CR_S11,CC_S11,ENG_S11,CR_PRO,CC_PRO,ENG_PRO,COL_GRADE_AVG_org,HI_GRADE_AVG_org,GENDER_bin,COL_GRADE_AVG,HI_GRADE_AVG
156,F,Stratum 5,65,56,80,31,64,86,60.333333333333336,67.0,1,-0.11524184660719577,0.5968151736101088
157,M,Stratum 2,67,53,62,74,99,86,86.33333333333333,60.666666666666664,0,1.0248320547443805,-0.043279381111335606
158,M,Stratum 3,71,68,62,94,89,85,89.33333333333333,67.0,0,1.1563790433618701,0.5968151736101088
159,M,Stratum 6,67,61,82,74,35,100,69.66666666666667,70.0,0,0.29401545131388307,0.9000178574255299
160,F,Stratum 3,57,57,59,94,82,61,79.0,57.666666666666664,1,0.7032727492349616,-0.34648206492675654
161,M,Stratum 2,49,49,38,31,36,38,35.0,45.333333333333336,0,-1.2260830838215526,-1.5929819872790423
162,F,Stratum 5,49,59,40,51,15,55,40.333333333333336,49.333333333333336,1,-0.9922217707237931,-1.1887117421918143
163,M,Stratum 3,55,51,44,5,50,35,30.0,50.0,0,-1.4453280648507019,-1.12133336801061
164,M,Stratum 1,50,50,52,80,9,7,32.0,50.666666666666664,0,-1.3576300724390422,-1.0539549938294055
165,F,Stratum 3,62,56,67,44,15,61,40.0,61.666666666666664,1,-1.0068381027924032,0.05778818016047138
166,F,Stratum 3,62,58,54,58,10,66,44.666666666666664,58.0,1,-0.8022094538318639,-0.312792877836154
167,M,Stratum 3,45,55,46,49,54,70,57.666666666666664,48.666666666666664,0,-0.23217250315607563,-1.2560901163730194
168,M,Stratum 2,64,61,64,69,40,76,61.666666666666664,63.0,0,-0.05677651833275616,0.19254492852288094
169,M,Stratum 2,69,69,82,90,97,99,95.33333333333333,73.33333333333333,0,1.4194730205968493,1.2369097283315527
170,F,Stratum 3,67,69,55,91,25,81,65.66666666666667,63.666666666666664,1,0.11861946649056362,0.25992330270408537
171,F,Stratum 3,57,52,52,42,60,57,53.0,53.666666666666664,1,-0.4368011521166149,-0.7507523100139845
172,M,Stratum 2,59,57,65,61,1,1,21.0,60.333333333333336,0,-1.8399690307031706,-0.07696856820193745
173,M,Stratum 3,56,52,55,13,53,78,48.0,54.333333333333336,0,-0.6560461331457642,-0.6833739358327794
174,M,Stratum 3,57,61,49,71,91,61,74.33333333333333,55.666666666666664,0,0.4986441002744221,-0.5486171874703706
175,M,Stratum 3,51,65,53,69,58,64,63.666666666666664,56.333333333333336,0,0.030921474078903572,-0.4812388132891654
176,M,Stratum 2,60,57,53,63,26,79,56.0,56.666666666666664,0,-0.3052541634991253,-0.44754962619856353
177,M,Stratum 3,64,72,73,49,53,94,65.33333333333333,69.66666666666667,0,0.10400313442195325,0.866328670334928
178,M,Stratum 2,64,66,53,31,27,58,38.666666666666664,61.0,0,-1.0653034310668432,-0.009590194020733038
179,M,Stratum 3,57,57,54,61,48,51,53.333333333333336,56.0,0,-0.42218482004800484,-0.5149280003797679
180,F,Stratum 3,67,72,60,86,61,74,73.66666666666667,66.33333333333333,1,0.46941143613720254,0.5294367994289038
181,M,Stratum 3,49,52,43,43,8,33,28.0,48.0,0,-1.5330260572623615,-1.3234684905542238
182,F,Stratum 3,64,59,68,59,40,66,55.0,63.666666666666664,1,-0.3491031597049552,0.25992330270408537
183,F,Stratum 3,56,57,68,62,81,68,70.33333333333333,60.333333333333336,1,0.3232481154511026,-0.07696856820193745
184,M,Stratum 3,57,58,52,78,28,45,50.333333333333336,55.666666666666664,0,-0.5537318086654944,-0.5486171874703706
185,M,Stratum 1,72,77,60,80,89,87,85.33333333333333,69.66666666666667,0,0.9809830585385506,0.866328670334928
186,M,Stratum 3,53,53,59,33,53,69,51.666666666666664,55.0,0,-0.49526648039105486,-0.615995561651575
187,F,Stratum 3,62,57,48,25,48,80,51.0,55.666666666666664,1,-0.5244991445282746,-0.5486171874703706
188,M,Stratum 1,58,55,64,8,43,75,42.0,59.0,0,-0.9191401103807435,-0.211725316564347
189,F,Stratum 3,58,62,55,82,72,55,69.66666666666667,58.333333333333336,1,0.29401545131388307,-0.2791036907455514
190,F,Stratum 3,57,47,49,7,22,22,17.0,51.0,1,-2.01536501552649,-1.0202658067388028
191,M,Stratum 3,52,53,58,83,85,37,68.33333333333333,54.333333333333336,0,0.23555012303944284,-0.6833739358327794
192,M,Stratum 1,39,48,42,49,64,47,53.333333333333336,43.0,0,-0.42218482004800484,-1.8288062969132588
193,F,Stratum 4,48,48,43,70,83,73,75.33333333333333,46.333333333333336,1,0.5424930964802519,-1.4919144260072352
194,M,Stratum 4,41,40,52,12,38,20,23.333333333333332,44.333333333333336,0,-1.7376547062229009,-1.6940495485508493
195,F,Stratum 3,62,62,62,96,82,75,84.33333333333333,62.0,1,0.9371340623327208,0.09147736725107394
196,M,Stratum 4,64,62,45,70,76,36,60.666666666666664,57.0,0,-0.10062551453858604,-0.413860439107961
197,F,Stratum 2,60,62,80,92,54,95,80.33333333333333,67.33333333333333,1,0.7617380775094013,0.6305043607007107
198,F,Stratum 4,48,53,65,49,62,79,63.333333333333336,55.333333333333336,1,0.016305142010293823,-0.5823063745609723
199,F,Stratum 4,57,69,76,79,61,92,77.33333333333333,67.33333333333333,1,0.6301910888919117,0.6305043607007107
200,M,Stratum 3,74,77,67,18,30,84,44.0,72.66666666666667,0,-0.8314421179690837,1.169531354150349
201,F,Stratum 1,69,53,53,50,76,55,60.333333333333336,58.333333333333336,1,-0.11524184660719577,-0.2791036907455514
202,M,Stratum 4,56,74,67,94,88,91,91.0,65.66666666666667,0,1.22946070370492,0.4620584252477
203,F,Stratum 6,81,62,67,1,6,67,24.666666666666668,70.0,1,-1.6791893779484612,0.9000178574255299
204,F,Stratum 4,64,68,67,46,87,81,71.33333333333333,66.33333333333333,1,0.36709711165693243,0.5294367994289038
205,F,Stratum 3,54,42,45,16,42,40,32.666666666666664,47.0,1,-1.3283974083018224,-1.4245360518260308
206,F,Stratum 4,62,56,55,55,30,58,47.666666666666664,57.666666666666664,1,-0.6706624652143743,-0.34648206492675654
207,F,Stratum 3,67,57,50,62,82,53,65.66666666666667,58.0,1,0.11861946649056362,-0.312792877836154
