,GENDER,STRATUM,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,QR_PRO,CR_PRO,CC_PRO,ENG_PRO,WC_PRO,COL_GRADE_AVG,HI_GRADE_AVG,GENDER_bin
153,M,Stratum_2,PRIVATE,ACADEMIC,58,57,57,68,50,83,50,74,75,73,71.0,58.0,0
154,F,Stratum_3,PRIVATE,ACADEMIC,51,58,56,48,49,59,33,35,34,46,41.4,52.4,1
155,M,Stratum_2,PRIVATE,ACADEMIC,51,51,45,38,40,6,37,21,8,14,17.2,45.0,0
156,F,Stratum_5,PRIVATE,ACADEMIC,72,65,56,68,80,76,31,64,86,47,60.8,68.2,1
157,M,Stratum_2,PRIVATE,ACADEMIC,74,67,53,63,62,99,74,99,86,88,89.2,63.8,0
158,M,Stratum_3,PRIVATE,ACADEMIC,62,71,68,68,62,97,94,89,85,3,73.6,66.2,0
159,M,Stratum_6,PRIVATE,ACADEMIC,88,67,61,73,82,98,74,35,100,59,73.2,74.2,0
160,F,Stratum_3,PRIVATE,TECHNICAL,56,57,57,60,59,89,94,82,61,73,79.8,57.8,1
161,M,Stratum_2,PRIVATE,ACADEMIC,44,49,49,57,38,32,31,36,38,7,28.8,47.4,0
162,F,Stratum_5,PRIVATE,TECHNICAL/ACADEMIC,60,49,59,60,40,58,51,15,55,20,39.8,53.6,1
163,M,Stratum_3,PRIVATE,ACADEMIC,52,55,51,55,44,26,5,50,35,70,37.2,51.4,0
164,M,Stratum_1,PRIVATE,ACADEMIC,53,50,50,58,52,72,80,9,7,48,43.2,52.6,0
165,F,Stratum_3,PUBLIC,ACADEMIC,62,62,56,60,67,56,44,15,61,60,47.2,61.4,1
166,F,Stratum_3,PUBLIC,ACADEMIC,52,62,58,51,54,36,58,10,66,88,51.6,55.4,1
167,M,Stratum_3,PUBLIC,ACADEMIC,50,45,55,64,46,3,49,54,70,86,52.4,52.0,0
168,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,58,64,61,62,64,86,69,40,76,88,71.8,61.8,0
169,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,79,69,69,80,82,93,90,97,99,21,80.0,75.8,0
170,F,Stratum_3,PUBLIC,TECHNICAL,68,67,69,67,55,93,91,25,81,31,64.2,65.2,1
171,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,53,57,52,51,52,54,42,60,57,81,58.8,53.0,1
172,M,Stratum_2,PUBLIC,ACADEMIC,62,59,57,58,65,69,61,1,1,81,42.6,60.2,0
173,M,Stratum_3,PRIVATE,TECHNICAL,53,56,52,53,55,42,13,53,78,41,45.4,53.8,0
174,M,Stratum_3,PRIVATE,ACADEMIC,74,57,61,70,49,97,71,91,61,24,68.8,62.2,0
175,M,Stratum_3,PUBLIC,ACADEMIC,55,51,65,61,53,50,69,58,64,27,53.6,57.0,0
176,M,Stratum_2,PRIVATE,ACADEMIC,71,60,57,55,53,99,63,26,79,100,73.4,59.2,0
177,M,Stratum_3,PRIVATE,ACADEMIC,91,64,72,81,73,99,49,53,94,70,73.0,76.2,0
178,M,Stratum_2,PRIVATE,ACADEMIC,57,64,66,61,53,82,31,27,58,63,52.2,60.2,0
179,M,Stratum_3,PRIVATE,ACADEMIC,71,57,57,68,54,96,61,48,51,49,61.0,61.4,0
180,F,Stratum_3,PRIVATE,ACADEMIC,62,67,72,64,60,88,86,61,74,87,79.2,65.0,1
181,M,Stratum_3,PUBLIC,TECHNICAL,44,49,52,47,43,64,43,8,33,44,38.4,47.0,0
182,F,Stratum_3,PRIVATE,ACADEMIC,59,64,59,58,68,49,59,40,66,0,42.8,61.6,1
183,F,Stratum_3,PUBLIC,ACADEMIC,51,56,57,51,68,11,62,81,68,80,60.4,56.6,1
184,M,Stratum_3,PUBLIC,TECHNICAL,80,57,58,72,52,85,78,28,45,28,52.8,63.8,0
185,M,Stratum_1,PUBLIC,ACADEMIC,77,72,77,81,60,99,80,89,87,1,71.2,73.4,0
186,M,Stratum_3,PUBLIC,ACADEMIC,68,53,53,62,59,29,33,53,69,1,37.0,59.0,0
187,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,51,62,57,55,48,76,25,48,80,0,45.8,54.6,1
188,M,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,64,58,55,60,64,60,8,43,75,86,54.4,60.2,0
189,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,59,58,62,64,55,80,82,72,55,13,60.4,59.6,1
190,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,59,57,47,47,49,69,7,22,22,57,35.4,51.8,1
191,M,Stratum_3,PRIVATE,ACADEMIC,62,52,53,65,58,96,83,85,37,93,78.8,58.0,0
192,M,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,58,39,48,53,42,65,49,64,47,23,49.6,48.0,0
193,F,Stratum_4,PRIVATE,TECHNICAL/ACADEMIC,56,48,48,53,43,38,70,83,73,42,61.2,49.6,1
194,M,Stratum_4,PRIVATE,ACADEMIC,45,41,40,42,52,78,12,38,20,34,36.4,44.0,0
195,F,Stratum_3,PUBLIC,ACADEMIC,72,62,62,72,62,93,96,82,75,62,81.6,66.0,1
196,M,Stratum_4,PUBLIC,ACADEMIC,76,64,62,61,45,94,70,76,36,50,65.2,61.6,0
197,F,Stratum_2,PRIVATE,TECHNICAL/ACADEMIC,68,60,62,61,80,99,92,54,95,89,85.8,66.2,1
198,F,Stratum_4,PRIVATE,ACADEMIC,57,48,53,58,65,85,49,62,79,50,65.0,56.2,1
199,F,Stratum_4,PRIVATE,ACADEMIC,78,57,69,78,76,90,79,61,92,11,66.6,71.6,1
200,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,75,74,77,74,67,97,18,30,84,45,54.8,73.4,0
201,F,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,62,69,53,72,53,95,50,76,55,54,66.0,61.8,1
202,M,Stratum_4,PRIVATE,ACADEMIC,64,56,74,65,67,99,94,88,91,100,94.4,65.2,0
203,F,Stratum_6,PRIVATE,TECHNICAL/ACADEMIC,52,81,62,45,67,23,1,6,67,0,19.4,61.4,1
204,F,Stratum_4,PUBLIC,TECHNICAL/ACADEMIC,67,64,68,66,67,74,46,87,81,18,61.2,66.4,1
205,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,57,54,42,60,45,35,16,42,40,13,29.2,51.6,1
206,F,Stratum_4,PUBLIC,TECHNICAL/ACADEMIC,59,62,56,59,55,54,55,30,58,90,57.4,58.2,1
207,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,61,67,57,64,50,95,62,82,53,94,77.2,59.8,1
208,F,Stratum_5,PRIVATE,ACADEMIC,75,64,62,65,78,98,86,23,98,44,69.8,68.8,1
209,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,62,52,56,65,53,88,67,37,52,71,63.0,57.6,0
210,F,Stratum_6,PRIVATE,ACADEMIC,74,74,72,70,65,89,96,88,91,42,81.2,71.0,1
211,M,Stratum_6,PRIVATE,ACADEMIC,79,58,62,67,55,93,97,93,88,0,74.2,64.2,0
212,M,Stratum_4,PRIVATE,ACADEMIC,79,67,64,60,76,96,100,82,98,48,84.8,69.2,0
213,M,Stratum_4,PRIVATE,ACADEMIC,59,60,60,59,60,52,62,8,74,42,47.6,59.6,0
214,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,52,45,52,58,46,99,33,81,64,78,71.0,50.6,0
215,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,57,58,66,58,43,87,37,19,39,50,46.4,56.4,1
216,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,59,52,53,62,53,97,79,74,67,13,66.0,55.8,0
217,F,Stratum_4,PUBLIC,TECHNICAL/ACADEMIC,62,60,57,70,80,58,33,57,92,59,59.8,65.8,1
218,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,65,62,65,68,48,22,15,21,23,23,20.8,61.6,0
219,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,73,64,64,72,52,75,50,39,45,10,43.8,65.0,1
220,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,79,87,72,71,62,98,91,95,81,48,82.6,74.2,0
221,F,Stratum_2,PUBLIC,ACADEMIC,64,57,46,61,54,93,83,64,67,69,75.2,56.4,1
222,M,Stratum_3,PRIVATE,TECHNICAL/ACADEMIC,69,62,66,67,55,100,48,75,78,84,77.0,63.8,0
223,M,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,65,49,51,65,43,94,61,40,18,4,43.4,54.6,0
224,F,Stratum_1,PUBLIC,ACADEMIC,69,70,66,67,70,95,89,39,88,42,70.6,68.4,1
225,M,Stratum_3,PUBLIC,ACADEMIC,58,57,57,66,70,99,97,78,90,43,81.4,61.6,0
226,M,Stratum_4,PRIVATE,ACADEMIC,55,41,46,46,49,72,19,8,67,4,34.0,47.4,0
227,M,Stratum_4,PRIVATE,TECHNICAL/ACADEMIC,58,64,64,59,52,75,60,59,33,84,62.2,59.4,0
228,M,Stratum_3,PRIVATE,TECHNICAL/ACADEMIC,84,70,72,79,80,95,89,97,92,7,76.0,77.0,0
229,F,Stratum_5,PRIVATE,ACADEMIC,66,66,74,61,67,64,32,83,85,97,72.2,66.8,1
230,F,Stratum_5,PRIVATE,ACADEMIC,78,68,72,81,78,65,23,33,88,91,60.0,75.4,1
231,M,Stratum_4,PRIVATE,ACADEMIC,80,57,60,74,60,68,78,88,87,84,81.0,66.2,0
232,M,Stratum_3,PRIVATE,ACADEMIC,74,64,53,58,63,90,38,36,64,61,57.8,62.4,0
233,M,Stratum_4,PRIVATE,ACADEMIC,70,62,59,64,59,82,82,5,62,91,64.4,62.8,0
