,HI_GRADE_AVG,GENDER_bin,STRATUM_0,STRATUM_Stratum_1,STRATUM_Stratum_2,STRATUM_Stratum_3,STRATUM_Stratum_4,STRATUM_Stratum_5,STRATUM_Stratum_6
606,57.66666666666666,1,0,0,1,0,0,0,0
8893,87.33333333333333,0,0,0,0,0,1,0,0
5076,69.33333333333333,1,0,0,0,0,1,0,0
5937,70.33333333333333,0,0,0,0,0,1,0,0
8105,50.0,1,0,0,0,0,1,0,0
1117,55.66666666666666,1,0,0,1,0,0,0,0
9878,63.66666666666666,0,0,0,0,1,0,0,0
8241,55.66666666666666,0,0,0,0,1,0,0,0
6129,61.0,0,0,0,0,1,0,0,0
925,51.66666666666666,0,0,0,1,0,0,0,0
12178,54.66666666666666,0,0,0,0,1,0,0,0
6744,62.66666666666666,1,0,0,0,1,0,0,0
7394,60.0,1,0,0,1,0,0,0,0
6854,64.66666666666667,0,0,0,0,1,0,0,0
4458,69.66666666666667,1,0,0,0,0,0,0,1
4131,58.333333333333336,0,0,0,1,0,0,0,0
7100,57.66666666666666,1,0,1,0,0,0,0,0
3645,41.66666666666666,1,0,0,0,1,0,0,0
3284,72.0,0,0,0,1,0,0,0,0
11130,74.33333333333333,1,0,0,0,0,0,1,0
4296,68.0,1,0,0,0,0,0,0,1
2962,68.0,0,0,0,1,0,0,0,0
725,53.66666666666666,0,0,1,0,0,0,0,0
9618,63.333333333333336,0,0,0,0,1,0,0,0
3580,51.66666666666666,0,0,0,1,0,0,0,0
1404,55.333333333333336,0,0,0,0,0,1,0,0
7075,71.0,1,0,0,0,1,0,0,0
5709,58.66666666666666,1,0,1,0,0,0,0,0
7939,47.66666666666666,0,0,0,1,0,0,0,0
10004,51.0,1,0,0,0,1,0,0,0
6878,41.333333333333336,0,0,1,0,0,0,0,0
6156,68.66666666666667,1,0,0,1,0,0,0,0
8802,50.333333333333336,0,0,0,1,0,0,0,0
6646,62.333333333333336,0,0,1,0,0,0,0,0
8864,67.33333333333333,0,0,0,1,0,0,0,0
6586,75.0,0,0,0,0,1,0,0,0
6582,60.66666666666666,0,0,0,0,1,0,0,0
8624,58.0,1,0,0,0,1,0,0,0
1197,60.0,1,0,0,0,1,0,0,0
8709,58.0,0,0,0,1,0,0,0,0
11924,49.333333333333336,0,0,0,1,0,0,0,0
6801,53.0,0,0,0,1,0,0,0,0
11278,66.0,1,0,0,0,0,1,0,0
3744,62.66666666666666,0,0,1,0,0,0,0,0
5636,52.66666666666666,1,0,0,1,0,0,0,0
10494,61.333333333333336,0,0,0,1,0,0,0,0
2832,50.66666666666666,0,0,0,0,1,0,0,0
7150,66.33333333333333,0,0,0,0,1,0,0,0
6405,48.0,1,0,1,0,0,0,0,0
8264,49.333333333333336,1,0,0,0,1,0,0,0
5352,69.0,0,0,0,0,0,1,0,0
10779,70.0,1,0,0,1,0,0,0,0
4477,74.0,0,0,0,0,1,0,0,0
11728,66.33333333333333,0,0,1,0,0,0,0,0
12377,76.33333333333333,0,0,0,1,0,0,0,0
9631,73.33333333333333,0,0,0,0,0,0,1,0
3444,48.66666666666666,0,0,1,0,0,0,0,0
9637,54.0,0,0,0,1,0,0,0,0
2643,71.66666666666667,1,0,0,1,0,0,0,0
5172,53.66666666666666,0,0,0,0,0,1,0,0
4225,54.0,0,0,0,1,0,0,0,0
2782,73.66666666666667,0,0,0,0,1,0,0,0
1630,72.33333333333333,0,0,0,1,0,0,0,0
9754,49.0,0,0,0,0,1,0,0,0
11207,66.0,0,0,0,0,1,0,0,0
6253,70.33333333333333,1,0,0,0,0,1,0,0
6192,72.66666666666667,0,0,0,0,1,0,0,0
4709,64.33333333333333,1,0,0,0,1,0,0,0
9350,49.0,1,0,1,0,0,0,0,0
5883,53.333333333333336,0,0,0,1,0,0,0,0
1347,61.66666666666666,0,0,0,1,0,0,0,0
6384,65.66666666666667,0,0,0,0,0,1,0,0
1498,47.0,0,0,0,1,0,0,0,0
6623,50.333333333333336,0,0,0,1,0,0,0,0
8282,57.0,0,0,0,0,1,0,0,0
4307,58.333333333333336,1,0,0,0,1,0,0,0
4754,66.0,0,0,0,0,1,0,0,0
12085,47.66666666666666,1,0,1,0,0,0,0,0
11662,52.66666666666666,1,0,0,0,1,0,0,0
3048,59.333333333333336,0,0,1,0,0,0,0,0
10582,58.333333333333336,0,0,0,0,1,0,0,0
7453,61.0,0,0,0,0,1,0,0,0
8339,62.66666666666666,0,0,0,0,1,0,0,0
6638,54.333333333333336,0,0,0,1,0,0,0,0
5134,62.66666666666666,1,0,0,0,1,0,0,0
11739,59.0,0,0,0,1,0,0,0,0
5478,50.333333333333336,1,0,0,1,0,0,0,0
6369,56.66666666666666,0,0,0,1,0,0,0,0
8674,56.333333333333336,1,0,0,0,1,0,0,0
11678,54.66666666666666,1,0,0,0,0,1,0,0
11611,67.0,0,0,0,1,0,0,0,0
9434,52.0,0,0,1,0,0,0,0,0
7438,59.333333333333336,0,0,0,0,1,0,0,0
4662,53.66666666666666,0,0,0,1,0,0,0,0
3885,56.333333333333336,0,0,1,0,0,0,0,0
375,84.0,1,0,0,0,0,1,0,0
11360,65.0,1,0,0,0,1,0,0,0
8014,80.66666666666667,1,0,0,0,1,0,0,0
12137,58.0,0,0,0,0,1,0,0,0
7266,56.66666666666666,1,0,0,0,1,0,0,0
3236,44.0,0,0,0,1,0,0,0,0
3200,44.333333333333336,0,0,0,1,0,0,0,0
11501,68.0,0,0,0,0,1,0,0,0
7138,45.333333333333336,1,0,0,1,0,0,0,0
10589,56.66666666666666,0,0,1,0,0,0,0,0
10322,60.333333333333336,1,0,0,1,0,0,0,0
5105,65.66666666666667,1,0,0,0,0,0,1,0
5819,68.0,1,0,0,1,0,0,0,0
10455,52.0,0,0,1,0,0,0,0,0
3578,63.333333333333336,0,0,0,0,0,0,1,0
630,50.0,1,0,0,1,0,0,0,0
5416,63.66666666666666,0,0,1,0,0,0,0,0
1764,72.66666666666667,0,0,0,0,1,0,0,0
7862,47.66666666666666,0,0,0,1,0,0,0,0
7647,73.33333333333333,0,0,0,0,1,0,0,0
2259,61.66666666666666,0,0,0,0,0,1,0,0
11438,51.0,1,0,0,1,0,0,0,0
3100,57.0,0,0,1,0,0,0,0,0
2082,56.0,0,0,0,1,0,0,0,0
3277,52.66666666666666,0,0,0,0,0,0,0,1
6111,50.66666666666666,0,0,0,0,1,0,0,0
1784,68.0,0,0,0,0,0,0,1,0
11772,62.333333333333336,1,0,0,0,0,1,0,0
8238,54.66666666666666,0,0,1,0,0,0,0,0
9803,54.333333333333336,0,0,0,1,0,0,0,0
2482,51.66666666666666,0,0,0,0,1,0,0,0
9027,55.333333333333336,0,0,0,1,0,0,0,0
7280,56.333333333333336,0,0,0,0,1,0,0,0
10267,55.66666666666666,0,0,0,0,1,0,0,0
2134,71.33333333333333,0,0,1,0,0,0,0,0
7878,69.0,0,0,0,1,0,0,0,0
